IFRS(연결),2021/12,2022/12,2023/12,2024/09,전년동기,전년동기(%)
매출액,2796048.0,3022314.0,2589355.0,2250826.0,1911556.0,17.7
매출원가,1664113.0,1900418.0,1803886.0,1392934.0,1342730.0,3.7
매출총이익,1131935.0,1121896.0,785469.0,857892.0,568825.0,50.8
판매비와관리비계산에 참여한 계정 펼치기,615596.0,688130.0,719799.0,595559.0,531403.0,12.1
영업이익,516339.0,433766.0,65670.0,262333.0,37423.0,601.0
영업이익(발표기준),516339.0,433766.0,65670.0,262333.0,37423.0,601.0
금융수익계산에 참여한 계정 펼치기,85432.0,208290.0,161001.0,106888.0,127971.0,-16.5
금융원가계산에 참여한 계정 펼치기,77046.0,190277.0,126455.0,81930.0,101043.0,-18.9
기타수익계산에 참여한 계정 펼치기,22057.0,19621.0,11804.0,14767.0,9498.0,55.5
기타비용계산에 참여한 계정 펼치기,20560.0,17902.0,10833.0,11799.0,5794.0,103.6
"종속기업,공동지배기업및관계기업관련손익계산에 참여한 계정 펼치기",7296.0,10906.0,8876.0,5968.0,6765.0,-11.8
세전계속사업이익,533518.0,464405.0,110063.0,296225.0,74820.0,295.9
법인세비용,134444.0,-92136.0,-44808.0,29255.0,-16604.0,흑자전환
계속영업이익,399075.0,556541.0,154871.0,266970.0,91423.0,192.0
중단영업이익,,,,,,
당기순이익,399075.0,556541.0,154871.0,266970.0,91423.0,192.0
지배주주순이익,392438.0,547300.0,144734.0,260452.0,84496.0,208.2
비지배주주순이익,6637.0,9241.0,10137.0,6517.0,6928.0,-5.9
